protocol,model,customers,family,instances,successful_instances,no_feasible_instances,status_counts,mean_selected_vehicles,mean_selected_distance_raw,selected_exceeds_reported_fleet_instances,mean_distance_only_vehicles,mean_distance_only_raw,mean_official_lex_vehicles,mean_official_lex_raw,same_candidate_count,sintef_same_vehicle_instances,sintef_mean_official_gap_pct_same_vehicle_only,sintef_mean_nonofficial_distance_only_gap_pct,legacy_mean_gap_pct_noncomparable,all_candidates_feasible
mvmoe_table7_greedy_8fold_distance,am_tw_n100_historical,100,ALL,56,56,0,ok:56,9.964285714285714,1695.8742555564843,0,9.964285714285714,1695.8742555564843,9.964285714285714,1695.8742555564843,56,0,,79.02955389070696,,True
mvmoe_table7_greedy_8fold_distance,am_tw_n100_historical,100,C1,9,9,0,ok:9,13.222222222222221,1880.6847432426678,0,13.222222222222221,1880.6847432426678,13.222222222222221,1880.6847432426678,9,0,,127.05533316553205,,True
mvmoe_table7_greedy_8fold_distance,am_tw_n100_historical,100,C2,8,8,0,ok:8,4.75,1538.3874938174877,0,4.75,1538.3874938174877,4.75,1538.3874938174877,8,0,,160.72137777774975,,True
mvmoe_table7_greedy_8fold_distance,am_tw_n100_historical,100,R1,12,12,0,ok:12,15.0,1420.75260226303,0,15.0,1420.75260226303,15.0,1420.75260226303,12,0,,17.743436463911944,,True
mvmoe_table7_greedy_8fold_distance,am_tw_n100_historical,100,R2,11,11,0,ok:11,5.0,1793.5236737920313,0,5.0,1793.5236737920313,5.0,1793.5236737920313,11,0,,90.50783502416124,,True
mvmoe_table7_greedy_8fold_distance,am_tw_n100_historical,100,RC1,8,8,0,ok:8,14.5,1666.7302994749834,0,14.5,1666.7302994749834,14.5,1666.7302994749834,8,0,,21.157641097691023,,True
mvmoe_table7_greedy_8fold_distance,am_tw_n100_historical,100,RC2,8,8,0,ok:8,6.25,1953.0077045963271,0,6.25,1953.0077045963271,6.25,1953.0077045963271,8,0,,77.32718069419494,,True
mvmoe_table7_greedy_8fold_distance,am_tw_n50,50,ALL,56,56,0,ok:56,6.392857142857143,844.8905632694666,0,6.392857142857143,844.8905632694666,6.392857142857143,844.8905632694666,56,0,,,55.00106418025981,True
mvmoe_table7_greedy_8fold_distance,am_tw_n50,50,C1,9,9,0,ok:9,7.888888888888889,689.2749239172413,0,7.888888888888889,689.2749239172413,7.888888888888889,689.2749239172413,9,0,,,90.57939872508209,True
mvmoe_table7_greedy_8fold_distance,am_tw_n50,50,C2,8,8,0,ok:8,2.625,722.6317773746875,0,2.625,722.6317773746875,2.625,722.6317773746875,8,0,,,102.27717336825683,True
mvmoe_table7_greedy_8fold_distance,am_tw_n50,50,R1,12,12,0,ok:12,9.25,872.4678687308882,0,9.25,872.4678687308882,9.25,872.4678687308882,12,0,,,14.611615053610665,True
mvmoe_table7_greedy_8fold_distance,am_tw_n50,50,R2,11,11,0,ok:11,5.181818181818182,1002.494958444895,0,5.181818181818182,1002.494958444895,5.181818181818182,1002.494958444895,11,0,,,63.78140617765039,True
mvmoe_table7_greedy_8fold_distance,am_tw_n50,50,RC1,8,8,0,ok:8,7.5,871.0718810488956,0,7.5,871.0718810488956,7.5,871.0718810488956,8,0,,,20.4606643215647,True
mvmoe_table7_greedy_8fold_distance,am_tw_n50,50,RC2,8,8,0,ok:8,4.75,857.9636240977231,0,4.75,857.9636240977231,4.75,857.9636240977231,8,0,,,50.7509319315945,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n100,100,ALL,56,56,0,ok:56,22.428571428571427,1657.6347293424337,18,22.428571428571427,1657.6347293424337,22.428571428571427,1657.6347293424337,56,0,,65.52912994485749,,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n100,100,C1,9,9,0,ok:9,27.0,1644.2198473904618,5,27.0,1644.2198473904618,27.0,1644.2198473904618,9,0,,98.44832253922567,,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n100,100,C2,8,8,0,ok:8,14.625,1238.229444960165,0,14.625,1238.229444960165,14.625,1238.229444960165,8,0,,109.83479301805816,,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n100,100,R1,12,12,0,ok:12,27.333333333333332,1818.2594648316333,6,27.333333333333332,1818.2594648316333,27.333333333333332,1818.2594648316333,12,0,,48.02204146340878,,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n100,100,R2,11,11,0,ok:11,17.727272727272727,1389.4417648946187,1,17.727272727272727,1389.4417648946187,17.727272727272727,1389.4417648946187,11,0,,44.469276735187265,,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n100,100,RC1,8,8,0,ok:8,26.25,2103.6897282791174,4,26.25,2103.6897282791174,26.25,2103.6897282791174,8,0,,50.03241026129636,,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n100,100,RC2,8,8,0,ok:8,20.375,1773.9049798659307,2,20.375,1773.9049798659307,20.375,1773.9049798659307,8,0,,54.90402577202326,,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n50,50,ALL,56,56,0,ok:56,10.357142857142858,855.9144865213215,0,10.357142857142858,855.9144865213215,10.357142857142858,855.9144865213215,56,0,,,47.881962164148796,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n50,50,C1,9,9,0,ok:9,10.222222222222221,590.1083076419995,0,10.222222222222221,590.1083076419995,10.222222222222221,590.1083076419995,9,0,,,63.102940512037804,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n50,50,C2,8,8,0,ok:8,6.25,536.7602674115071,0,6.25,536.7602674115071,6.25,536.7602674115071,8,0,,,50.01894905101925,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n50,50,R1,12,12,0,ok:12,13.5,1001.4354111574798,0,13.5,1001.4354111574798,13.5,1001.4354111574798,12,0,,,29.339014865283094,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n50,50,R2,11,11,0,ok:11,9.090909090909092,822.8091225133417,0,9.090909090909092,822.8091225133417,9.090909090909092,822.8091225133417,11,0,,,32.013535738142146,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n50,50,RC1,8,8,0,ok:8,12.375,1144.9562852762724,0,12.375,1144.9562852762724,12.375,1144.9562852762724,8,0,,,53.90783290482664,True
mvmoe_table7_greedy_8fold_distance,pomo_split_tw_n50,50,RC2,8,8,0,ok:8,9.625,1012.2973466721575,0,9.625,1012.2973466721575,9.625,1012.2973466721575,8,0,,,72.22901117928309,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n100,100,ALL,56,56,0,ok:56,13.482142857142858,1646.480525855441,0,13.482142857142858,1646.480525855441,13.482142857142858,1646.480525855441,56,0,,77.08317495244849,,False
mvmoe_table7_greedy_8fold_distance,pomo_tw_n100,100,C1,9,9,0,ok:9,16.22222222222222,1747.4632595933172,0,16.22222222222222,1747.4632595933172,16.22222222222222,1747.4632595933172,9,0,,110.94656638828612,,False
mvmoe_table7_greedy_8fold_distance,pomo_tw_n100,100,C2,8,8,0,ok:8,9.75,1813.0964833182725,0,9.75,1813.0964833182725,9.75,1813.0964833182725,8,0,,207.32803177031005,,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n100,100,R1,12,12,0,ok:12,15.166666666666666,1296.7191608446312,0,15.166666666666666,1296.7191608446312,15.166666666666666,1296.7191608446312,12,0,,7.402221644475667,,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n100,100,R2,11,11,0,ok:11,11.090909090909092,1655.2398967024853,0,11.090909090909092,1655.2398967024853,11.090909090909092,1655.2398967024853,11,0,,74.99448336820508,,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n100,100,RC1,8,8,0,ok:8,14.0,1478.796375985607,0,14.0,1478.796375985607,14.0,1478.796375985607,8,0,,7.350343115276512,,False
mvmoe_table7_greedy_8fold_distance,pomo_tw_n100,100,RC2,8,8,0,ok:8,14.375,2046.5410554088655,0,14.375,2046.5410554088655,14.375,2046.5410554088655,8,0,,85.86821549673537,,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,50,ALL,56,56,0,ok:56,6.625,753.9661902216292,0,6.625,753.9661902216292,6.625,753.9661902216292,56,0,,,38.03337575849302,False
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,50,C1,9,9,0,ok:9,7.555555555555555,548.3478717922408,0,7.555555555555555,548.3478717922408,7.555555555555555,548.3478717922408,9,0,,,51.631738144633786,False
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,50,C2,8,8,0,ok:8,5.5,748.9700385357055,0,5.5,748.9700385357055,5.5,748.9700385357055,8,0,,,109.58333227044233,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,50,R1,12,12,0,ok:12,8.916666666666666,823.6289450172271,0,8.916666666666666,823.6289450172271,8.916666666666666,823.6289450172271,12,0,,,7.908339345964857,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,50,R2,11,11,0,ok:11,5.090909090909091,847.50319985787,0,5.090909090909091,847.50319985787,5.090909090909091,847.50319985787,11,0,,,38.20855758501463,True
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,50,RC1,8,8,0,ok:8,7.5,830.6603454728016,0,7.5,830.6603454728016,7.5,830.6603454728016,8,0,,,14.370172774589367,False
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,50,RC2,8,8,0,ok:8,4.5,680.4812744462141,0,4.5,680.4812744462141,4.5,680.4812744462141,8,0,,,19.79514415336417,True
