schema_version,dataset,protocol,model,architecture,training_size,instance,group,depot_code,depot_type,customer_code,customer_type,demand_code,demand_type,route_size_code,route_size_type,status,failure_reason,cost,optimum,optimum_sources_agree,absolute_error,gap_percent,vehicles,no_aug_status,no_aug_failure_reason,no_aug_cost,no_aug_absolute_error,no_aug_gap_percent,no_aug_vehicles,no_aug_candidate_index,no_aug_policy_index,no_aug_candidates_generated,candidates_generated,candidate_index,augmentation_index,policy_index,inference_seconds_amortized,postprocess_seconds,physical_batch_size,checkpoint_epoch,checkpoint_sha256,checkpoint_path,routes_json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_21,1111,1,random,1,random,1,unitary,1,very_short,ok,,25978,25052,True,926,3.6963116717228166,25,ok,,26296,1244,4.96567140348076,25,0,0,1,8,1,1,0,0.0015885652974247932,0.0006545931100845337,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_21.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_22,1111,1,random,1,random,1,unitary,1,very_short,ok,,57313,55795,True,1518,2.7206738955103504,34,ok,,57554,1759,3.1526122412402544,34,0,0,1,8,6,6,0,0.0015885652974247932,0.0007089748978614807,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_22.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_23,1111,1,random,1,random,1,unitary,1,very_short,ok,,38318,37197,True,1121,3.013683899239186,25,ok,,39634,2437,6.551603623948168,26,0,0,1,8,3,3,0,0.0015885652974247932,0.0007279068231582642,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_23.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_24,1111,1,random,1,random,1,unitary,1,very_short,ok,,37997,36733,True,1264,3.4410475594152397,26,ok,,38021,1288,3.506383905480086,25,0,0,1,8,2,2,0,0.0015885652974247932,0.0007046908140182495,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_24.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_25,1111,1,random,1,random,1,unitary,1,very_short,ok,,34797,33710,True,1087,3.2245624443785226,25,ok,,34979,1269,3.764461584099674,26,0,0,1,8,2,2,0,0.0015885652974247932,0.0006946325302124023,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_25.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_26,1111,1,random,1,random,1,unitary,1,very_short,ok,,39120,37730,True,1390,3.6840710310098066,34,ok,,39555,1825,4.836999734958918,34,0,0,1,8,1,1,0,0.0015885652974247932,0.0006995424628257751,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_26.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_27,1111,1,random,1,random,1,unitary,1,very_short,ok,,35581,34996,True,585,1.6716196136701338,26,ok,,36122,1126,3.217510572636873,26,0,0,1,8,5,5,0,0.0015885652974247932,0.0007224306464195251,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_27.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_01,1112,1,random,1,random,1,unitary,2,short,ok,,25553,24781,True,772,3.11528993987329,21,ok,,26487,1706,6.884306525160405,20,0,0,1,8,3,3,0,0.0015885652974247932,0.0007357262074947357,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_01.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_02,1112,1,random,1,random,1,unitary,2,short,ok,,23755,22916,True,839,3.661197416652121,18,ok,,24734,1818,7.933321696631174,17,0,0,1,8,2,2,0,0.0015885652974247932,0.0006776899099349976,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_02.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_03,1112,1,random,1,random,1,unitary,2,short,ok,,28084,26980,True,1104,4.091919940696813,21,ok,,28084,1104,4.091919940696813,21,0,0,1,8,0,0,0,0.0015885652974247932,0.0007003359496593475,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_03.json
