protocol,model,architecture,trained_size,checkpoint,instance,family,customers,max_fleet,fleet_limit_enforced,coordinate_scale,candidates_total,candidates_externally_feasible,selected_vehicles,selected_distance_raw,selected_distance_2dp,selected_exceeds_reported_fleet,distance_only_vehicles,distance_only_raw,distance_only_2dp,official_lex_vehicles,official_lex_raw,official_lex_2dp,same_candidate,sintef_double_bks_vehicles,sintef_double_bks_distance,sintef_vehicle_gap,sintef_official_distance_gap_pct,sintef_nonofficial_distance_only_gap_pct,legacy_reference_vehicles,legacy_reference_distance,legacy_distance_only_gap_pct_noncomparable,elapsed_seconds,status
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R206,R2,50,25,False,333.333333333333,400,400,6,861.674315611862,861.67,False,6,861.674315611862,861.67,6,861.674315611862,861.67,True,,,,,,4,632.4,36.25463561224893,0.13013315200805664,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R207,R2,50,25,False,333.333333333333,400,400,4,869.269893634862,869.27,False,4,869.269893634862,869.27,4,869.269893634862,869.27,True,,,,,,3,575.5,51.04602843351208,0.13060593605041504,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R208,R2,50,25,False,333.333333333333,400,400,3,694.081408885705,694.08,False,3,694.081408885705,694.08,3,694.081408885705,694.08,True,,,,,,2,487.7,42.31728703828272,0.12312579154968262,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R209,R2,50,25,False,333.333333333333,400,400,7,832.570022804233,832.57,False,7,832.570022804233,832.57,7,832.570022804233,832.57,True,,,,,,4,600.6,38.623047419952165,0.13721394538879395,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R210,R2,50,25,False,333.333333333333,400,400,5,862.500854370063,862.50,False,5,862.500854370063,862.50,5,862.500854370063,862.50,True,,,,,,4,645.6,33.596786612463326,0.13919854164123535,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R211,R2,50,25,False,333.333333333333,400,400,5,756.602407730943,756.60,False,5,756.602407730943,756.60,5,756.602407730943,756.60,True,,,,,,3,535.5,41.28896502912095,0.18151283264160156,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC101,RC1,50,25,False,95.000000000000,400,400,10,1021.813895144160,1021.81,False,10,1021.813895144160,1021.81,10,1021.813895144160,1021.81,True,,,,,,8,944.0,8.242997366966069,0.12851357460021973,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC102,RC1,50,25,False,95.000000000000,400,400,8,909.517553887516,909.52,False,8,909.517553887516,909.52,8,909.517553887516,909.52,True,,,,,,7,822.5,10.57964181003231,0.1210019588470459,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC103,RC1,50,25,False,95.000000000000,400,400,7,844.132081539261,844.13,False,7,844.132081539261,844.13,7,844.132081539261,844.13,True,,,,,,6,710.9,18.7413252974062,0.11905884742736816,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC104,RC1,50,25,False,95.000000000000,400,334,6,629.967748711832,629.97,False,6,629.967748711832,629.97,6,629.967748711832,629.97,True,,,,,,5,545.8,15.42098730520926,0.11652112007141113,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC105,RC1,50,25,False,95.000000000000,400,400,8,911.069659374921,911.07,False,8,911.069659374921,911.07,8,911.069659374921,911.07,True,,,,,,8,855.3,6.52047929088288,0.12161874771118164,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC106,RC1,50,25,False,95.000000000000,400,400,8,872.732350532330,872.73,False,8,872.732350532330,872.73,8,872.732350532330,872.73,True,,,,,,6,723.2,20.67648652272266,0.12295126914978027,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC107,RC1,50,25,False,95.000000000000,400,373,7,746.936959476319,746.94,False,7,746.936959476319,746.94,7,746.936959476319,746.94,True,,,,,,6,642.7,16.21860268808453,0.11879205703735352,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC108,RC1,50,25,False,95.000000000000,400,400,6,709.112515116073,709.11,False,6,709.112515116073,709.11,6,709.112515116073,709.11,True,,,,,,6,598.1,18.560861915411028,0.12152719497680664,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC201,RC2,50,25,False,320.000000000000,400,400,5,745.672262339301,745.67,False,5,745.672262339301,745.67,5,745.672262339301,745.67,True,,,,,,5,684.8,8.889057000481984,0.12054944038391113,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC202,RC2,50,25,False,320.000000000000,400,400,5,716.699136777903,716.70,False,5,716.699136777903,716.70,5,716.699136777903,716.70,True,,,,,,5,613.6,16.802336502265792,0.11979794502258301,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC203,RC2,50,25,False,320.000000000000,400,400,4,693.532680975117,693.53,False,4,693.532680975117,693.53,4,693.532680975117,693.53,True,,,,,,4,555.3,24.893333508935207,0.11699533462524414,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC204,RC2,50,25,False,320.000000000000,400,400,3,539.365240334162,539.37,False,3,539.365240334162,539.37,3,539.365240334162,539.37,True,,,,,,3,444.2,21.423962254426275,0.12145662307739258,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC205,RC2,50,25,False,320.000000000000,400,400,5,723.637849239327,723.64,False,5,723.637849239327,723.64,5,723.637849239327,723.64,True,,,,,,5,630.2,14.826697752987494,0.16273093223571777,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC206,RC2,50,25,False,320.000000000000,400,400,5,686.977906139064,686.98,False,5,686.977906139064,686.98,5,686.977906139064,686.98,True,,,,,,5,610.0,12.619328875256464,0.12455511093139648,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC207,RC2,50,25,False,320.000000000000,400,400,5,707.683676362553,707.68,False,5,707.683676362553,707.68,5,707.683676362553,707.68,True,,,,,,4,558.6,26.68880708244768,0.12607884407043457,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,RC208,RC2,50,25,False,320.000000000000,400,400,4,630.281443402286,630.28,False,4,630.281443402286,630.28,4,630.281443402286,630.28,True,,,,,,3,476.7,32.217630250112435,0.12077808380126953,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C101,C1,50,25,False,412.000000000000,400,400,8,504.272353648343,504.27,False,8,504.272353648343,504.27,8,504.272353648343,504.27,True,,,,,,5,362.4,39.14800045484068,0.776785135269165,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C102,C1,50,25,False,412.000000000000,400,400,8,583.870909973195,583.87,False,8,583.870909973195,583.87,8,583.870909973195,583.87,True,,,,,,5,361.4,61.55808244969423,0.7392864227294922,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C103,C1,50,25,False,412.000000000000,400,400,8,544.747695960680,544.75,False,8,544.747695960680,544.75,8,544.747695960680,544.75,True,,,,,,5,361.4,50.732622014576705,0.801762580871582,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C104,C1,50,25,False,412.000000000000,400,400,7,546.802985694008,546.80,False,7,546.802985694008,546.80,7,546.802985694008,546.80,True,,,,,,5,358.0,52.738264160337444,0.9448316097259521,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C105,C1,50,25,False,412.000000000000,400,400,8,535.842371873221,535.84,False,8,535.842371873221,535.84,8,535.842371873221,535.84,True,,,,,,5,362.4,47.859374137202224,0.7660577297210693,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C106,C1,50,25,False,412.000000000000,400,400,8,553.080714246255,553.08,False,8,553.080714246255,553.08,8,553.080714246255,553.08,True,,,,,,5,362.4,52.616091127553716,0.7625463008880615,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C107,C1,50,25,False,412.000000000000,400,400,7,525.093266691892,525.09,False,7,525.093266691892,525.09,7,525.093266691892,525.09,True,,,,,,5,362.4,44.89328551100775,0.7715461254119873,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C108,C1,50,25,False,412.000000000000,400,400,7,534.368068878879,534.37,False,7,534.368068878879,534.37,7,534.368068878879,534.37,True,,,,,,5,362.4,47.45255763765973,0.7837152481079102,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C109,C1,50,25,False,412.000000000000,400,400,6,420.537594778496,420.54,False,6,420.537594778496,420.54,6,420.537594778496,420.54,True,,,,,,5,362.4,16.04238266514778,0.849022626876831,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C201,C2,50,25,False,1130.000000000000,400,400,10,934.328634337542,934.33,False,10,934.328634337542,934.33,10,934.328634337542,934.33,True,,,,,,3,360.2,159.39162530192726,0.7195982933044434,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C202,C2,50,25,False,1130.000000000000,400,400,8,893.494788011281,893.49,False,8,893.494788011281,893.49,8,893.494788011281,893.49,True,,,,,,3,360.2,148.05518823189382,0.7901327610015869,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C203,C2,50,25,False,1130.000000000000,400,400,8,784.495152958616,784.50,False,8,784.495152958616,784.50,8,784.495152958616,784.50,True,,,,,,3,359.8,118.03645162829794,0.8787267208099365,ok
