model,trained_size,evaluation_size,problem,variant_regime,instances,direct_ok,split_ok,split_failed,direct_mean_cost_all,direct_mean_cost_paired,split_mean_cost_paired,split_vs_direct_percent,split_mean_vehicles
MVMoE_4E_L,50,100,VRPB,trained_variant,1000,1000,1000,0,12.5526612959,12.5526612959,13.2543905972,5.590283,7.057000
MVMoE_4E_L,50,100,VRPBL,unseen_variant,1000,1000,1000,0,12.5105956335,12.5105956335,13.2410954109,5.839049,7.187000
MVMoE_4E_L,50,100,VRPBLTW,unseen_variant,1000,1000,42,958,28.2340938683,25.5792689551,32.9807231367,28.935362,25.904762
MVMoE_4E_L,50,100,VRPBTW,unseen_variant,1000,1000,36,964,28.2753022690,27.9688207838,35.9756890380,28.627836,26.666667
MVMoE_4E_L,50,100,VRPL,trained_variant,1000,1000,1000,0,16.2767784967,16.2767784967,17.2205169632,5.798067,11.325000
MVMoE_4E_L,50,100,VRPLTW,unseen_variant,1000,1000,1000,0,26.6384095078,26.6384095078,31.0844333392,16.690275,23.324000
MVMoE_4E_L,50,100,VRPTW,trained_variant,1000,1000,1000,0,26.6383018169,26.6383018169,31.1398037235,16.898607,23.317000
MVMoE_4E_L,50,200,CVRP,trained_variant,1000,1000,1000,0,25.0750830746,25.0750830746,26.0443225021,3.865349,16.104000
MVMoE_4E_L,50,200,OVRP,trained_variant,1000,1000,1000,0,16.8048113718,16.8048113718,17.7030866273,5.345346,19.185000
MVMoE_4E_L,50,200,OVRPB,unseen_variant,1000,1000,1000,0,15.0776142797,15.0776142797,16.0035754577,6.141298,12.382000
MVMoE_4E_L,50,200,OVRPBL,unseen_variant,1000,1000,1000,0,15.0424172211,15.0424172211,15.9730957353,6.187028,12.280000
MVMoE_4E_L,50,200,OVRPBLTW,unseen_variant,1000,1000,0,1000,30.0637827225,nan,nan,nan,nan
MVMoE_4E_L,50,200,OVRPBTW,unseen_variant,1000,1000,2,998,30.3363968678,33.6416225433,45.4041213781,34.964125,54.000000
MVMoE_4E_L,50,200,OVRPL,unseen_variant,1000,1000,1000,0,16.7962255526,16.7962255526,17.7077969560,5.427240,19.130000
MVMoE_4E_L,50,200,OVRPLTW,unseen_variant,1000,1000,1000,0,28.7742100372,28.7742100372,33.7081082741,17.146946,46.527000
MVMoE_4E_L,50,200,OVRPTW,trained_variant,1000,1000,1000,0,28.8747238941,28.8747238941,33.8489876236,17.227052,46.473000
MVMoE_4E_L,50,200,VRPB,trained_variant,1000,1000,1000,0,20.9831718311,20.9831718311,20.3512182515,-3.011716,10.071000
MVMoE_4E_L,50,200,VRPBL,unseen_variant,1000,1000,1000,0,20.3847721844,20.3847721844,20.7282816537,1.685128,10.326000
MVMoE_4E_L,50,200,VRPBLTW,unseen_variant,1000,1000,0,1000,53.9453267097,nan,nan,nan,nan
MVMoE_4E_L,50,200,VRPBTW,unseen_variant,1000,1000,0,1000,52.9739050140,nan,nan,nan,nan
MVMoE_4E_L,50,200,VRPL,trained_variant,1000,1000,1000,0,25.0406452065,25.0406452065,26.0164051798,3.896705,16.125000
MVMoE_4E_L,50,200,VRPLTW,unseen_variant,1000,1000,1000,0,51.7346254463,51.7346254463,64.3587053535,24.401607,48.897000
MVMoE_4E_L,50,200,VRPTW,trained_variant,1000,1000,1000,0,50.8149311714,50.8149311714,63.1973571425,24.367692,48.568000
