model,architecture,training_size,aggregation,value,expected_count,failure_count,success_rate,status_counts_json,ok_count,mean_cost,mean_optimum,mean_absolute_error,mean_gap_percent,median_gap_percent,gap_std_percent,gap_sem_percent,gap_ci95_low_percent,gap_ci95_high_percent,gap_ci95_method,gap_p90_percent,gap_p95_percent,gap_p99_percent,gap_max_percent,optimal_hits,mean_vehicles,mean_inference_seconds_amortized,mean_postprocess_seconds,throughput_instances_per_inference_second,no_aug_ok_count,no_aug_failure_count,no_aug_success_rate,no_aug_mean_cost,no_aug_mean_absolute_error,no_aug_mean_gap_percent,no_aug_median_gap_percent,no_aug_gap_std_percent,no_aug_gap_sem_percent,no_aug_gap_ci95_low_percent,no_aug_gap_ci95_high_percent,no_aug_gap_ci95_method,no_aug_gap_p95_percent,no_aug_gap_p99_percent,no_aug_gap_max_percent,no_aug_optimal_hits,no_aug_mean_vehicles,macro_mean_of_complete_group_gaps,complete_groups,no_aug_macro_mean_of_complete_group_gaps,no_aug_complete_groups
am_direct_n50,am,50,group,2164,27,0,1.0,"{""ok"": 27}",27,11834.074074074075,11009.037037037036,825.0370370370371,7.504833130526186,7.415626444752658,2.050271918255168,0.39457501463885053,6.693772572183086,8.315893688869286,student_t,9.664867490830076,10.308602465805452,10.977698906973052,11.140535110948772,0,7.925925925925926,0.0009024942992255092,0.0006140270442874344,1108.0402400969924,27,0,1.0,12318.962962962964,1309.9259259259259,11.943639673493923,12.250242483026188,3.524475106327595,0.6782855504634573,10.5494037567102,13.337875590277646,student_t,17.607046764400092,18.281501083445217,18.372630605640314,0,7.851851851851852,,,,
am_direct_n50,am,50,group,2165,27,0,1.0,"{""ok"": 27}",27,10621.25925925926,9760.185185185184,861.074074074074,8.859048387982206,8.246022506790842,2.4423045292877275,0.4700217258091039,7.892904893779864,9.825191882184548,student_t,11.909830173472,13.072708503680035,14.224430465327428,14.523530039483513,0,5.777777777777778,0.0009024942992255092,0.0006219599809911516,1108.0402400969924,27,0,1.0,11130.703703703704,1370.5185185185185,14.113423502484316,14.26319206157841,3.6132094355593636,0.6953624800862315,12.68408545413935,15.542761550829283,student_t,20.269569231685878,22.52660992942955,23.026868178001678,0,5.962962962962963,,,,
am_direct_n50,am,50,group,2166,27,0,1.0,"{""ok"": 27}",27,9458.666666666666,8521.037037037036,937.6296296296297,11.047165009423193,10.840954717822887,2.358080750502848,0.4538128520245647,10.114339332452218,11.979990686394167,student_t,14.144199264177274,14.493790386589263,15.93762991479637,16.427511133102424,0,3.814814814814815,0.0010045925823592202,0.000627257067848135,995.4284130304499,27,0,1.0,10038.25925925926,1517.2222222222222,17.823976394094245,17.083541770885443,5.581631317852298,1.0741854479597566,15.615956583251183,20.031996204937307,student_t,28.039847318930466,33.9762519661894,35.87941976427924,0,4.185185185185185,,,,
am_direct_n50,am,50,group,2171,27,0,1.0,"{""ok"": 27}",27,30672.222222222223,27597.925925925927,3074.296296296296,11.078897801371694,10.668243191700359,2.6979974393538906,0.5192298492946299,10.01160556072448,12.146190042018908,student_t,14.229390037980448,14.624211623170853,18.78970026309295,20.239427544341574,0,32.96296296296296,0.0010277967376168817,0.0006712022478933688,972.9550244717325,27,0,1.0,32031.40740740741,4433.481481481482,15.955288857049661,15.868109222050489,3.9492866779911964,0.7600405755484066,14.393003079446839,17.517574634652483,student_t,22.880691309269668,24.480767577776906,24.72954183199376,0,33.25925925925926,,,,
am_direct_n50,am,50,group,2172,27,0,1.0,"{""ok"": 27}",27,19861.444444444445,17956.666666666668,1904.7777777777778,10.592114751478578,11.075120278187967,1.800530805148018,0.3465123150121406,9.87984848711883,11.304381015838326,student_t,12.408766866303642,12.666003601131784,13.266916645788285,13.462491552151386,0,18.59259259259259,0.0010277967376168817,0.0006560196203214151,972.9550244717325,27,0,1.0,20609.25925925926,2652.5925925925926,14.747267558720148,13.854268776548569,3.6463187632867418,0.7017343731782612,13.304831896544629,16.18970322089567,student_t,20.729378318481732,23.480290808684355,24.25053814248963,0,19.037037037037038,,,,
am_direct_n50,am,50,group,2173,27,0,1.0,"{""ok"": 27}",27,14164.25925925926,12948.333333333334,1215.9259259259259,9.338468316556755,9.356281110267442,1.8074728761322056,0.34784831719595866,8.623455860378078,10.053480772735432,student_t,11.953077027811291,12.640830425693572,12.8471742560817,12.87269898885144,0,11.074074074074074,0.0010277967376168817,0.0006065154793085876,972.9550244717325,27,0,1.0,14820.185185185184,1871.851851851852,14.364333951520134,14.01838476690742,3.951655556028746,0.7604964663392922,12.80111107697584,15.927556826064428,student_t,19.415684901818178,24.131271414206964,25.771324863883848,0,11.148148148148149,,,,
am_direct_n50,am,50,group,2174,27,0,1.0,"{""ok"": 27}",27,11725.555555555555,10700.814814814816,1024.7407407407406,9.537822520336661,9.487787094422165,2.6766974100887357,0.5151306567513019,8.478956290636923,10.5966887500364,student_t,12.885233647926265,13.14747118030872,15.709778002112639,16.578707916287534,0,7.925925925925926,0.0010367714707239498,0.0006128469551051105,964.5327135609999,27,0,1.0,12418.185185185184,1717.3703703703704,15.993731464276719,16.879471158199763,3.527788983746519,0.678923306470083,14.598184621246705,17.389278307306732,student_t,20.38416368592412,22.436747272963437,23.15168029064487,0,8.11111111111111,,,,
am_direct_n50,am,50,group,2175,27,0,1.0,"{""ok"": 27}",27,10317.148148148148,9474.555555555555,842.5925925925926,8.895423829281013,8.842287320289698,1.8932475418014174,0.36435565930054853,8.146480045452602,9.644367613109424,student_t,10.807492756701693,11.439472007993537,13.229081438483751,13.804749340369392,0,5.592592592592593,0.0011489556345622987,0.0006561879482534197,870.3556255076427,27,0,1.0,10776.925925925925,1302.3703703703704,13.79535561379923,13.564058469475494,3.4162948433257436,0.6574662491417494,12.443914383774255,15.146796843824207,student_t,18.506448935747823,19.83612901486459,20.297931625763585,0,5.777777777777778,,,,
am_direct_n50,am,50,group,2176,27,0,1.0,"{""ok"": 27}",27,9475.481481481482,8515.37037037037,960.1111111111111,11.326095339699387,11.384827903764245,2.7315714278169057,0.5256911663869269,10.24552167155655,12.406669007842225,student_t,14.672099592630806,14.934673203612167,15.110345300188245,15.143814254360633,0,3.7777777777777777,0.0011489556345622987,0.00058091652614099,870.3556255076427,27,0,1.0,10032.222222222223,1516.851851851852,17.871460024872565,17.344856559836753,5.657558062557124,1.0887975567910977,15.633404594166027,20.109515455579103,student_t,26.862007169254806,27.658547821991828,27.842809364548494,0,3.962962962962963,,,,
am_direct_n50,am,50,group,2211,27,0,1.0,"{""ok"": 27}",27,25205.74074074074,24036.14814814815,1169.5925925925926,5.032076413861113,4.656658789069001,1.575867647789859,0.3032758702195658,4.408683934594761,5.655468893127466,student_t,6.17582720467732,7.614345551851052,9.746319997464775,10.311967098003812,0,31.185185185185187,0.0011489556345622987,0.0006694041744426444,870.3556255076427,27,0,1.0,28472.62962962963,4436.481481481482,18.58617869645472,7.750631844987363,22.304956534254845,4.292590886438313,9.76263176133066,27.40972563157878,student_t,70.80179667170721,82.35445778822603,83.65464344941957,0,36.22222222222222,,,,
am_direct_n50,am,50,group,2212,27,0,1.0,"{""ok"": 27}",27,16401.037037037036,15778.851851851852,622.1851851851852,4.069714040673039,3.8456311998912898,1.154092429527836,0.22210519161920178,3.6131702808243538,4.526257800521725,student_t,5.643373351230613,5.682007077701036,6.464761706762066,6.735033259423504,0,17.48148148148148,0.0011489556345622987,0.0006286054849624634,870.3556255076427,27,0,1.0,16750.85185185185,972.0,6.27052828215244,6.3905930470347645,1.48536538979006,0.28585870254674817,5.682937303775343,6.858119260529537,student_t,8.536552852582181,9.116613471475112,9.28794673189292,0,17.74074074074074,,,,
am_direct_n50,am,50,group,2213,27,0,1.0,"{""ok"": 27}",27,11721.777777777777,10603.407407407407,1118.3703703703704,10.840972833544164,11.528050032670587,5.2577343238175684,1.011851442394536,8.761082406168942,12.920863260919386,student_t,16.760919894301193,17.58412928169656,20.017789099700355,20.75122482308111,0,11.925925925925926,0.0011226991288519155,0.0006510066213431182,890.7105869251106,27,0,1.0,12137.74074074074,1534.3333333333333,14.836161398122666,15.26579739217653,5.483953456228629,1.055387334725659,12.666781662423233,17.0055411338221,student_t,21.760095957308906,23.236915798116527,23.696481559983045,0,12.0,,,,
am_direct_n50,am,50,group,2214,27,0,1.0,"{""ok"": 27}",27,9936.444444444445,9136.666666666666,799.7777777777778,8.927236869052164,7.811669677967903,3.5586986217745302,0.6848718690820917,7.519462580455556,10.335011157648772,student_t,14.789529175352184,15.317482714252877,16.73063850803708,17.160913952357802,0,8.25925925925926,0.0010701861174311489,0.000592042174604204,934.4169053513588,27,0,1.0,11012.037037037036,1875.3703703703704,20.41188711944915,12.986375352890635,32.606255238020054,6.275076746312174,7.513282137661138,33.310492101237166,student_t,28.39668929863256,140.99442877531345,180.4313848077524,0,9.0,,,,
am_direct_n50,am,50,group,2215,26,0,1.0,"{""ok"": 26}",26,8168.423076923077,7333.153846153846,835.2692307692307,11.578980631744558,10.609525864797853,3.9884963664427504,0.7822084923994425,9.967992085356872,13.189969178132245,student_t,17.504861583683038,18.175019953564714,18.506719535389216,18.616666666666667,0,6.0,0.0010701861174311489,0.0005913154723552557,934.4169053513588,26,0,1.0,9154.076923076924,1820.923076923077,24.795285822676266,17.004436572420488,24.3064358424649,4.766884256408447,14.977703920090336,34.6128677252622,student_t,48.8855027281644,110.43515394375297,130.3218826075196,0,6.846153846153846,,,,
am_direct_n50,am,50,group,2216,26,0,1.0,"{""ok"": 26}",26,7189.153846153846,5985.307692307692,1203.8461538461538,20.68318858356384,18.2882731132413,7.40190411139686,1.4516328269905867,17.69349481193447,23.67288235519321,student_t,28.501295183507885,31.691650830752376,39.65895089279741,41.96467040068936,0,3.8461538461538463,0.0010701861174311489,0.0006011465134528967,934.4169053513588,26,0,1.0,9829.26923076923,3843.9615384615386,64.84755399972438,37.27097593074798,54.64761896260669,10.717279825450563,42.77490301856382,86.92020498088495,student_t,174.32684443047117,199.48290336159448,205.270202442697,0,7.423076923076923,,,,
am_direct_n50,am,50,group,2221,26,0,1.0,"{""ok"": 26}",26,23654.653846153848,22154.46153846154,1500.1923076923076,6.900924941157409,7.128753195522232,2.0428833024311612,0.4006423778111293,6.075786518188636,7.7260633641261816,student_t,8.978360575497543,9.790905851845555,11.87142363218953,12.501765786127985,0,28.0,0.0010701861174311489,0.000668741762638092,934.4169053513588,26,0,1.0,24587.115384615383,2432.653846153846,11.19043365924324,9.930183382896148,4.886819778939454,0.9583842081624407,9.216604434182752,13.164262884303728,student_t,20.16281687013016,26.361469555686426,27.943903569772832,0,28.884615384615383,,,,
